GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe
48087,"Collingsworth County, Texas",61280,6323,550,197,2528,158,0.2175632911392405,0.07673169662563378
48269,"King County, Texas",46645,20375,50,36,211,83,0.23696682464454977,0.14290180822221973
48345,"Motley County, Texas",61154,11948,190,60,1183,136,0.16060862214708369,0.047238252937851215
48061,"Cameron County, Texas",52601,1632,104877,4334,422446,340,0.2482613162392353,0.010257353484257957
48473,"Waller County, Texas",80397,5053,8324,1209,56878,202,0.14634832448398327,0.02124966626514613
48161,"Freestone County, Texas",59960,5424,2285,499,18582,48,0.1229684641050479,0.026852065957176135
48453,"Travis County, Texas",99611,1578,142566,7449,1304589,833,0.1092803940551392,0.005709417877440872
48495,"Winkler County, Texas",86900,18475,1196,372,7373,6,0.1622134816221348,0.050454187817415876
48491,"Williamson County, Texas",111340,1581,42919,3486,667407,478,0.0643070869799088,0.0052229965724119466
48423,"Smith County, Texas",74192,2224,27158,2632,234771,456,0.11567868263115973,0.011208672941068254
48461,"Upton County, Texas",49167,22121,494,168,3080,45,0.1603896103896104,0.05449509427767898
48373,"Polk County, Texas",62259,3861,8538,1101,48887,117,0.17464765684128705,0.022517445650286672
48241,"Jasper County, Texas",56723,6933,6520,943,31431,114,0.20743851611466388,0.029992791774736568
48449,"Titus County, Texas",58425,4968,5314,767,31076,64,0.17100012871669457,0.0246789135746046
48389,"Reeves County, Texas",64297,10908,1957,555,11680,211,0.1675513698630137,0.04742062129509803
48437,"Swisher County, Texas",36165,14512,1901,436,6316,56,0.3009816339455352,0.06897943110047952
48173,"Glasscock County, Texas",101250,53302,95,73,1068,146,0.08895131086142322,0.06726171449444372
48361,"Orange County, Texas",72104,2537,10594,1360,84456,156,0.12543809794449182,0.016101392598270807
48167,"Galveston County, Texas",86105,2507,41318,2713,352806,359,0.11711252076211856,0.007688855084464362
48007,"Aransas County, Texas",69466,8686,3513,708,24666,15,0.14242276818292388,0.02870334780104311
48465,"Val Verde County, Texas",66100,5286,7625,1111,46005,120,0.1657428540376046,0.024145678900908206
48403,"Sabine County, Texas",66585,7963,1088,335,9874,36,0.11018837350617784,0.033925107714417424
48315,"Marion County, Texas",49672,3965,1763,415,9622,3,0.18322594055289962,0.043130288502272636
